strategy,comparison,metric,point_diff,ci_lo,ci_hi,excludes_zero,n_boot
fine_tuned,PS-VAEP - P-VAEP,concede_logloss,-0.00037621006961053097,-0.000773493971354187,-3.4066019076584745e-06,True,1000
fine_tuned,PS-VAEP - P-VAEP,concede_ece,3.415438981747929e-05,-0.00016735988915921924,0.00031673172868280344,False,1000
fine_tuned,PS-VAEP - P-VAEP,concede_ace,-0.00045349576758902006,-0.0007263359202298557,1.3415533591984099e-05,False,1000
fine_tuned,PS-VAEP - E-VAEP,score_auc,-0.003594892420485385,-0.009752130193970764,0.0023094609312189316,False,1000
fine_tuned,PS-VAEP - E-VAEP,score_ap,-0.0026118457377997117,-0.011926879663385098,0.005549250394972172,False,1000
fine_tuned,PS-VAEP - E-VAEP,score_brier,-2.9945833919917467e-05,-9.64658052985404e-05,3.860167778535795e-05,False,1000
fine_tuned,PS-VAEP - E-VAEP,score_logloss,7.970913013670422e-05,-0.00040907040665849934,0.0005468996699447617,False,1000
fine_tuned,PS-VAEP - E-VAEP,score_ece,0.00013646239027232786,-0.00030284568437144395,0.0006022663274815791,False,1000
fine_tuned,PS-VAEP - E-VAEP,score_ace,-0.00019946893251191443,-0.0005852485024620792,0.00026330012131302853,False,1000
fine_tuned,PS-VAEP - E-VAEP,concede_auc,0.005903092338764959,-0.019793625385834877,0.031882035856356454,False,1000
fine_tuned,PS-VAEP - E-VAEP,concede_ap,0.010237507458819406,-0.01930337824427363,0.04332962901831396,False,1000
fine_tuned,PS-VAEP - E-VAEP,concede_brier,-5.655492062070933e-05,-0.00014522550498113825,2.401046151421528e-05,False,1000
fine_tuned,PS-VAEP - E-VAEP,concede_logloss,-0.0004820966778166444,-0.0009156780351871229,-5.2700820621731016e-05,True,1000
fine_tuned,PS-VAEP - E-VAEP,concede_ece,0.00017164777287630812,-6.0543820723990884e-05,0.0004204496609754172,False,1000
fine_tuned,PS-VAEP - E-VAEP,concede_ace,-0.0004171618069654765,-0.0006260467424202922,-3.889706716281058e-05,True,1000
