variant,num_leaves,learning_rate,feature_fraction,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
PS-VAEP,31,0.03,0.8,295,459240,51172,271,42,lightgbm,0.8282072074075775,0.3027440659100154,0.06195875175259519,0.8629939576277597,0.1643264128170727,0.017734722526066903
PS-VAEP,31,0.05,0.6,295,459240,51172,271,42,lightgbm,0.825597814877892,0.2959709113756926,0.06240194394943351,0.86182996758913,0.15057542826399598,0.018138418493790866
PS-VAEP,31,0.05,0.8,295,459240,51172,271,42,lightgbm,0.8253527980712705,0.29695836277043053,0.062405050257238304,0.8566775636662101,0.15213248238422158,0.018430927361485005
PS-VAEP,31,0.1,0.6,295,459240,51172,271,42,lightgbm,0.8232686967816143,0.2850217477632852,0.06308151666359564,0.8448331134324427,0.1237440012812095,0.01938871663141166
PS-VAEP,31,0.1,0.8,295,459240,51172,271,42,lightgbm,0.8240474272809928,0.2835848831678199,0.06319667600553848,0.8270804725207925,0.10731303196579933,0.02042414611893788
PS-VAEP,63,0.03,0.6,295,459240,51172,271,42,lightgbm,0.8271843959296584,0.3014982468313487,0.0622295867911175,0.863533317085879,0.18769241136549827,0.01743261180229662
PS-VAEP,63,0.03,0.8,295,459240,51172,271,42,lightgbm,0.8275115468423884,0.2977784668311837,0.06225380493773535,0.8611576591340107,0.17153613376942708,0.01769847701656762
PS-VAEP,63,0.05,0.6,295,459240,51172,271,42,lightgbm,0.8259428559066613,0.2921993634322475,0.06261527580699,0.8638072267556355,0.16286508893839835,0.018231018422082468
PS-VAEP,63,0.05,0.8,295,459240,51172,271,42,lightgbm,0.8230742511521928,0.2949903974867253,0.06264452025271809,0.8531233489925177,0.15859739798701245,0.018339990468248676
PS-VAEP,63,0.1,0.6,295,459240,51172,271,42,lightgbm,0.822700965130438,0.2853730474450164,0.0631670467922198,0.8232954319441761,0.11849183818820462,0.0198708556977806
PS-VAEP,63,0.1,0.8,295,459240,51172,271,42,lightgbm,0.8238307770034712,0.27983721205149026,0.06340550620418338,0.8326349729255782,0.11268362018993344,0.020747081219528764
PS-VAEP,127,0.03,0.6,295,459240,51172,271,42,lightgbm,0.8206581010443963,0.29261816731641116,0.06297962883867085,0.8517124536737455,0.18682122626156883,0.01783444135796762
PS-VAEP,127,0.03,0.8,295,459240,51172,271,42,lightgbm,0.8228246038196128,0.29028161068520997,0.06298018365932807,0.8469898229307606,0.17375867802912612,0.018021255717959195
PS-VAEP,127,0.05,0.6,295,459240,51172,271,42,lightgbm,0.8187332485254327,0.285543156517797,0.06337751718101833,0.8495639239282984,0.1657040168972817,0.018464609461162445
PS-VAEP,127,0.05,0.8,295,459240,51172,271,42,lightgbm,0.8208075904651029,0.29035872318017486,0.06306976626544458,0.8445518083696798,0.15846544931454265,0.018429041120919695
PS-VAEP,127,0.1,0.6,295,459240,51172,271,42,lightgbm,0.8112375451309168,0.2756104536831836,0.06427258405073906,0.8294988220595609,0.12942293845075487,0.019680873121931116
PS-VAEP,127,0.1,0.8,295,459240,51172,271,42,lightgbm,0.8188565104526528,0.27579163751196084,0.063855064926245,0.7969823434991974,0.10127126317776668,0.020559931462623707
ES-VAEP,31,0.03,0.6,295,459240,51172,223,42,lightgbm,0.82725423058099,0.30135362753925277,0.06215352540451628,0.8551923222374426,0.1675025018158966,0.017738911925834624
ES-VAEP,31,0.03,0.8,295,459240,51172,223,42,lightgbm,0.8278083866481883,0.3015302584011689,0.0621458066610713,0.8604566655181398,0.17748404110600668,0.017640845106170245
ES-VAEP,31,0.05,0.6,295,459240,51172,223,42,lightgbm,0.8305574606341487,0.30219234867076106,0.061956896163466266,0.8537939206507947,0.14819329074361368,0.018516619782504014
ES-VAEP,31,0.05,0.8,295,459240,51172,223,42,lightgbm,0.828398250025796,0.30076646568082815,0.06205558811667885,0.8517556494919869,0.15652994509417095,0.01818261768062866
ES-VAEP,31,0.1,0.6,295,459240,51172,223,42,lightgbm,0.8216584404947638,0.2893240297109224,0.06305444986080484,0.8204169993192878,0.12707240931620795,0.020782915314234648
ES-VAEP,31,0.1,0.8,295,459240,51172,223,42,lightgbm,0.8232898683727421,0.2882682624168183,0.0630123403800215,0.8382161415657503,0.11550441315629971,0.019804206033941823
